Age,Gender,High_School_GPA,University_Ranking,University_GPA,Field_of_Study,Internships_Completed,Certifications,Soft_Skills_Score,Networking_Score,Job_Offers,Starting_Salary,Career_Satisfaction,Years_to_Promotion,Work_Life_Balance
24,Female,2.55,788,2.74,Computer Science,4,3,1,5,0,30700.0,6,2,2
28,Male,3.43,290,3.86,Computer Science,2,2,2,3,2,39700.0,9,2,5
29,Other,3.19,879,2.88,Business,3,5,8,6,1,67600.0,5,3,1
23,Male,2.65,554,3.61,Arts,1,4,6,10,1,40200.0,4,5,3
24,Female,2.05,904,3.85,Law,4,1,1,3,5,50000.0,8,3,1
22,Male,3.5,578,3.95,Business,0,3,7,8,1,79800.0,4,1,1
23,Female,2.43,533,3.8,Law,3,5,7,4,5,65400.0,4,5,9
22,Female,3.67,335,2.63,Business,1,3,6,5,2,47700.0,9,2,6
24,Female,2.84,582,3.93,Engineering,1,4,8,3,0,46300.0,1,5,8
19,Female,3.15,773,3.62,Business,3,2,5,5,0,71600.0,3,5,5
28,Female,3.75,502,3.67,Business,3,1,2,7,3,44900.0,4,2,9
22,Male,3.73,246,2.03,Engineering,1,3,4,3,5,50100.0,8,1,4
23,Male,2.74,323,3.91,Medicine,4,1,8,3,0,47200.0,1,1,10
23,Male,2.42,747,3.56,Engineering,0,5,8,1,0,74600.0,3,4,8
22,Other,3.55,939,3.54,Computer Science,4,0,5,2,4,49900.0,2,4,6
27,Male,2.87,784,2.16,Mathematics,2,3,6,4,0,45100.0,6,1,10
24,Female,2.38,611,2.47,Medicine,2,2,9,9,2,60400.0,9,1,5
27,Female,3.81,329,3.92,Mathematics,2,5,10,3,5,79200.0,10,4,5
25,Male,2.4,547,3.0,Arts,1,4,10,10,1,31700.0,9,4,3
24,Male,2.05,339,2.8,Mathematics,0,3,10,5,2,55200.0,10,1,4
22,Male,2.04,171,3.68,Law,0,0,2,9,5,37600.0,5,2,10
18,Male,3.24,110,2.17,Business,1,4,5,4,1,71500.0,3,1,5
22,Male,3.32,994,2.83,Medicine,1,2,9,4,1,33300.0,8,2,9
27,Male,2.62,807,2.75,Arts,1,1,3,6,3,62200.0,9,2,10
19,Female,2.64,10,2.7,Engineering,0,1,6,7,5,39000.0,9,2,3
22,Other,2.68,202,2.62,Engineering,1,3,4,6,0,74600.0,1,4,5
22,Male,3.36,916,2.42,Computer Science,3,4,4,4,3,86300.0,10,3,9
19,Male,2.12,257,2.35,Mathematics,3,0,3,7,1,68500.0,5,1,1
22,Male,3.86,262,3.28,Computer Science,3,0,10,10,4,49400.0,10,5,5
21,Female,2.45,693,3.84,Medicine,1,2,1,3,4,31900.0,9,5,4
18,Female,4.0,430,3.02,Mathematics,3,5,8,3,5,52900.0,3,1,1
20,Male,2.34,507,2.6,Law,1,4,5,7,3,53900.0,7,2,1
18,Male,3.54,66,2.32,Business,3,4,2,6,3,84900.0,9,4,7
29,Female,2.45,806,3.66,Engineering,1,1,1,2,0,52000.0,2,4,6
28,Female,2.16,673,3.94,Medicine,4,2,1,1,3,39300.0,2,2,1
22,Male,3.75,579,2.7,Mathematics,2,2,4,6,3,53100.0,5,1,4
21,Female,3.72,612,2.58,Medicine,4,5,4,9,2,44300.0,8,5,7
24,Male,2.81,589,3.2,Law,2,2,6,3,3,48600.0,10,4,6
22,Male,3.4,35,3.55,Mathematics,2,4,7,9,5,82400.0,5,2,10
27,Female,3.11,975,2.91,Medicine,3,1,1,6,3,37300.0,8,4,2
21,Female,3.71,557,3.26,Computer Science,2,2,10,4,5,64400.0,4,2,9
19,Male,2.63,662,3.43,Law,2,1,2,10,5,45300.0,9,4,10
21,Female,3.05,491,3.92,Engineering,4,5,3,10,2,49500.0,4,5,3
29,Male,2.97,580,2.33,Mathematics,2,2,9,10,1,49800.0,5,4,2
19,Female,2.71,254,3.99,Computer Science,1,4,4,2,5,35500.0,7,1,1
25,Female,3.78,17,2.78,Computer Science,1,1,6,9,1,58800.0,9,3,3
20,Female,2.33,261,3.45,Law,3,3,2,5,2,25000.0,5,2,6
26,Female,2.3,725,3.14,Law,4,5,2,5,0,45500.0,7,3,10
21,Male,3.15,825,2.97,Medicine,0,2,2,2,3,54400.0,4,5,1
23,Female,3.31,256,3.4,Arts,4,4,5,5,5,58700.0,2,5,2
27,Female,2.39,728,2.79,Arts,0,1,9,6,0,58000.0,2,3,9
22,Female,2.78,863,2.25,Arts,2,0,6,2,4,33100.0,5,5,1
27,Male,3.89,424,2.98,Mathematics,0,4,9,1,0,43700.0,2,5,1
18,Female,2.49,501,3.04,Mathematics,2,4,6,6,3,52100.0,2,2,9
26,Female,3.34,286,2.4,Medicine,4,0,9,9,1,38700.0,2,2,3
18,Male,3.48,938,3.87,Business,4,0,5,9,3,52700.0,4,2,6
25,Female,2.9,7,2.45,Mathematics,3,3,1,9,5,58100.0,8,1,3
26,Male,3.88,497,2.82,Engineering,3,3,6,5,3,41900.0,7,1,2
26,Male,3.47,892,2.31,Medicine,2,3,4,10,3,59600.0,5,1,3
18,Female,2.92,199,3.07,Medicine,2,4,9,1,0,46200.0,7,1,10
19,Female,3.14,603,2.62,Computer Science,1,4,6,3,1,37800.0,6,3,4
29,Female,3.39,984,2.98,Arts,1,4,1,8,1,69800.0,8,2,1
18,Male,3.18,659,2.45,Law,1,3,6,9,5,42700.0,8,5,3
27,Other,3.76,937,2.11,Medicine,4,1,3,4,0,28400.0,7,4,7
19,Male,2.71,418,3.56,Business,0,4,3,3,0,42300.0,5,1,2
27,Male,2.6,662,3.28,Mathematics,2,4,7,2,0,53700.0,6,5,7
29,Male,2.43,52,2.68,Engineering,3,4,2,5,4,55100.0,10,2,4
25,Female,2.08,243,2.09,Business,2,3,9,2,4,33700.0,8,3,7
22,Female,2.09,219,3.73,Medicine,0,2,9,9,3,59300.0,7,5,3
29,Female,3.74,518,2.34,Medicine,2,3,7,10,5,49400.0,5,4,7
28,Female,3.36,970,3.86,Computer Science,3,2,9,9,4,28200.0,10,5,10
24,Male,3.32,109,2.96,Business,3,3,6,3,0,25000.0,8,2,7
19,Female,3.23,351,2.68,Computer Science,0,1,9,4,0,53200.0,4,5,3
25,Male,3.7,921,3.48,Law,3,1,10,9,0,45200.0,6,3,6
28,Female,2.96,66,3.75,Business,4,4,2,1,1,36700.0,4,2,9
23,Male,3.74,10,2.74,Arts,3,3,5,7,5,40700.0,5,1,7
25,Female,2.72,202,2.81,Law,0,2,6,2,1,48500.0,10,2,5
18,Female,3.85,794,2.87,Arts,0,2,6,9,4,48200.0,3,5,1
18,Female,3.4,901,3.84,Business,2,1,4,3,2,48200.0,2,4,8
29,Female,2.51,214,3.39,Computer Science,3,4,4,6,2,47800.0,1,2,4
24,Male,3.13,68,2.5,Arts,3,2,5,5,0,79600.0,3,2,2
25,Female,3.07,759,2.37,Medicine,0,3,6,2,1,42300.0,1,2,9
20,Male,2.28,866,2.46,Mathematics,2,4,8,9,5,60900.0,6,2,3
22,Female,3.18,327,2.53,Engineering,2,5,10,3,3,59100.0,2,5,6
29,Female,2.63,50,2.46,Computer Science,4,3,1,6,4,41300.0,3,1,3
18,Male,2.1,17,3.32,Law,4,3,8,9,1,25000.0,8,4,7
24,Other,3.9,523,2.23,Mathematics,0,1,2,8,0,43700.0,5,2,2
22,Female,3.28,821,2.77,Law,2,3,7,10,0,25100.0,2,4,4
25,Male,3.75,306,3.25,Business,2,0,4,5,2,25000.0,2,5,10
25,Female,3.35,392,2.58,Law,4,4,8,6,5,42400.0,3,1,9
26,Male,2.71,988,2.13,Engineering,4,0,6,3,5,51200.0,3,2,8
24,Female,3.03,124,2.16,Engineering,0,3,5,5,0,46800.0,8,1,8
28,Female,3.35,504,2.25,Medicine,2,3,10,6,0,25500.0,5,2,8
18,Other,3.92,225,3.67,Law,0,1,10,3,3,31800.0,8,2,7
20,Female,2.51,756,3.32,Computer Science,4,1,5,10,4,52300.0,4,3,6
25,Male,3.75,318,2.13,Engineering,3,5,4,2,3,59300.0,9,4,8
20,Female,3.85,473,2.78,Computer Science,4,1,3,10,2,37500.0,3,1,7
25,Male,3.34,981,2.56,Medicine,2,5,3,9,1,49600.0,2,4,1
18,Female,3.86,844,3.16,Business,0,1,3,7,5,53100.0,6,4,6
22,Female,2.8,891,3.05,Engineering,2,5,7,4,2,75900.0,4,4,8
21,Male,3.91,858,2.96,Engineering,4,2,8,3,5,73700.0,2,1,5
22,Male,3.41,541,2.63,Engineering,4,1,8,4,0,58900.0,6,2,6
25,Female,2.08,358,2.28,Law,1,3,2,9,4,25000.0,4,2,2
27,Female,3.81,483,3.48,Computer Science,4,5,3,9,0,72200.0,10,2,2
21,Male,2.97,869,3.76,Mathematics,2,3,2,6,4,57100.0,4,2,2
28,Male,2.92,878,3.89,Engineering,0,5,6,9,4,40300.0,10,2,6
21,Male,3.13,940,2.12,Computer Science,0,4,3,9,4,79600.0,4,2,5
20,Female,2.3,877,3.48,Law,1,5,6,6,1,45300.0,4,5,6
24,Male,2.94,429,3.45,Arts,2,0,4,5,2,82300.0,8,5,6
20,Female,3.66,797,3.89,Arts,4,5,10,3,5,33100.0,1,2,4
29,Male,2.03,497,2.51,Computer Science,3,5,10,1,5,43600.0,9,1,7
20,Female,2.55,472,3.48,Law,0,2,6,4,1,25000.0,3,4,9
28,Male,2.0,571,2.11,Arts,2,2,3,1,1,43000.0,5,4,7
27,Female,2.83,655,3.26,Medicine,1,4,5,1,1,68100.0,5,1,6
22,Male,3.46,838,2.7,Medicine,3,4,8,6,3,41600.0,4,5,3
22,Female,3.6,864,3.54,Arts,2,1,3,5,3,37500.0,4,4,6
23,Male,3.89,300,3.73,Business,4,4,9,7,3,68800.0,7,5,8
25,Female,3.22,738,2.73,Computer Science,0,2,9,1,1,52400.0,4,3,8
27,Female,2.51,676,3.05,Arts,4,0,7,1,0,52000.0,10,4,4
23,Male,3.85,84,2.23,Computer Science,1,5,8,8,3,33600.0,3,3,5
29,Female,3.55,377,2.83,Mathematics,0,0,9,6,3,34800.0,9,3,4
18,Female,3.15,313,2.72,Mathematics,3,2,1,8,1,46300.0,4,3,2
25,Male,3.39,629,2.37,Law,0,1,7,6,2,25000.0,4,3,5
25,Male,3.85,320,3.79,Mathematics,4,0,10,6,0,62000.0,10,2,1
26,Male,3.42,204,2.3,Mathematics,2,5,3,10,4,59200.0,8,2,2
26,Female,2.74,355,3.27,Arts,2,5,6,7,4,56300.0,7,1,7
19,Female,3.43,294,3.78,Medicine,2,0,9,2,5,30300.0,4,4,5
19,Male,2.08,504,3.82,Law,1,1,10,3,0,60600.0,8,1,10
20,Female,2.77,145,3.59,Mathematics,1,0,8,4,1,37200.0,10,3,8
18,Female,2.81,539,2.35,Business,2,3,2,1,2,68600.0,2,1,6
21,Female,2.33,17,3.63,Computer Science,3,2,4,9,2,45400.0,9,2,8
21,Female,2.05,575,2.55,Business,4,0,5,9,4,51200.0,2,5,2
26,Female,2.27,779,3.84,Mathematics,3,0,10,4,2,59500.0,10,5,8
26,Female,3.31,576,3.42,Medicine,2,1,6,1,4,54500.0,3,5,9
26,Male,3.6,39,3.57,Mathematics,4,0,7,1,5,25000.0,6,5,8
27,Female,3.98,130,2.17,Engineering,1,1,4,6,3,25000.0,7,5,7
24,Female,2.69,115,3.17,Engineering,0,2,4,2,5,38200.0,9,4,8
19,Male,3.2,450,3.64,Computer Science,0,3,5,1,1,56100.0,8,3,2
27,Female,3.87,950,3.72,Law,4,4,9,10,2,75800.0,6,2,6
22,Female,2.33,925,2.06,Medicine,3,2,9,2,1,45400.0,8,5,7
21,Female,3.44,45,3.88,Mathematics,4,0,1,7,3,62200.0,5,4,9
29,Male,3.51,216,2.09,Computer Science,3,3,5,4,0,60200.0,10,2,3
28,Male,2.18,600,3.23,Law,3,4,5,7,0,29900.0,10,5,6
25,Female,3.72,848,3.39,Computer Science,0,4,7,7,0,49900.0,9,3,8
19,Female,3.63,415,2.21,Computer Science,1,5,8,4,4,41000.0,4,1,4
23,Male,2.07,689,2.1,Business,2,5,3,2,4,36200.0,1,3,5
22,Female,2.18,265,3.57,Arts,1,0,1,9,0,75500.0,8,3,2
29,Female,2.1,923,2.77,Medicine,2,5,2,10,3,55700.0,5,5,10
19,Male,2.67,440,2.21,Business,0,4,6,10,5,37500.0,9,1,7
28,Male,3.02,617,3.53,Law,2,4,6,3,4,41100.0,3,1,8
27,Male,3.06,381,3.7,Arts,3,2,5,1,5,51900.0,9,2,6
18,Female,2.54,846,3.17,Computer Science,4,5,5,8,5,55600.0,8,4,9
25,Male,3.82,301,2.32,Engineering,2,5,9,4,0,25000.0,6,2,3
19,Male,2.74,985,2.03,Mathematics,1,2,7,9,1,70000.0,10,5,9
24,Male,2.09,171,3.4,Business,0,4,6,8,0,53100.0,10,1,9
26,Male,2.6,620,3.1,Medicine,0,1,7,7,0,36100.0,8,3,9
26,Male,3.06,406,3.3,Medicine,4,0,3,9,1,86200.0,8,3,6
25,Male,2.82,355,3.63,Arts,3,1,7,2,5,56500.0,7,4,9
28,Female,2.55,161,2.87,Business,3,1,3,4,4,73200.0,7,5,7
29,Female,2.26,795,2.25,Computer Science,0,4,8,5,5,68700.0,3,5,8
27,Male,3.64,552,3.88,Arts,3,0,10,5,1,80300.0,7,2,8
26,Male,3.99,26,3.09,Law,4,1,10,1,4,65900.0,3,1,8
19,Other,2.66,83,3.23,Medicine,0,2,9,9,3,64200.0,9,1,3
23,Male,2.76,173,3.87,Law,3,2,3,9,4,61500.0,5,4,6
21,Male,3.24,999,3.86,Business,2,0,7,5,2,71600.0,8,3,7
21,Male,3.44,685,3.14,Engineering,2,1,8,10,4,41600.0,3,2,4
22,Male,2.78,794,2.6,Law,3,3,3,3,2,56200.0,3,4,4
29,Female,3.81,70,3.99,Mathematics,2,5,6,8,4,41800.0,3,1,7
20,Male,3.12,835,3.36,Computer Science,4,3,7,7,1,64000.0,8,2,2
18,Female,2.9,6,2.82,Mathematics,1,0,4,5,4,45500.0,9,5,8
25,Male,3.29,796,3.12,Medicine,4,5,6,1,0,46600.0,7,3,6
22,Male,3.91,195,2.83,Mathematics,4,0,7,7,4,25000.0,1,1,9
20,Female,3.59,525,3.78,Business,3,3,7,1,1,79900.0,6,1,5
27,Male,2.08,63,2.96,Engineering,4,1,1,1,1,31400.0,3,4,10
24,Female,2.66,13,3.65,Medicine,3,1,2,9,4,56400.0,1,3,10
24,Male,2.94,761,3.68,Engineering,0,4,1,6,4,59200.0,10,1,1
18,Female,2.63,205,3.65,Medicine,3,5,9,7,4,71200.0,2,1,7
29,Male,3.4,897,3.44,Arts,3,0,7,2,5,42600.0,3,1,4
26,Female,3.65,765,3.71,Mathematics,0,1,7,8,5,29600.0,7,4,10
19,Male,3.46,40,2.77,Arts,1,3,3,7,3,64400.0,6,1,4
22,Female,3.98,165,2.23,Arts,0,5,5,5,2,67400.0,2,4,3
22,Male,2.55,31,3.68,Business,3,3,2,8,4,55500.0,5,5,5
25,Female,3.75,529,3.0,Arts,2,2,5,2,4,50700.0,1,5,6
25,Male,3.53,649,2.25,Business,3,1,8,6,2,49500.0,3,5,3
24,Female,2.72,877,2.23,Computer Science,0,4,10,4,0,33400.0,1,5,8
24,Male,3.47,832,2.32,Arts,3,4,3,7,3,25000.0,3,2,2
29,Male,2.21,825,3.5,Business,0,5,4,6,3,74900.0,2,2,7
28,Female,3.58,909,3.42,Medicine,4,0,8,6,0,50200.0,4,5,1
23,Male,3.06,677,2.41,Business,1,2,2,5,2,62300.0,5,5,9
23,Male,2.58,398,3.69,Law,1,5,1,5,2,44700.0,3,3,9
28,Female,3.31,459,2.56,Business,0,3,3,2,1,44700.0,10,1,5
26,Other,3.28,793,3.59,Mathematics,1,3,2,7,2,43000.0,5,3,2
23,Male,2.42,223,2.98,Law,2,0,10,7,5,47100.0,7,3,6
29,Female,2.06,634,3.46,Medicine,2,4,2,8,3,66900.0,10,3,10
19,Female,2.87,78,2.76,Mathematics,1,4,4,4,5,52000.0,9,3,5
19,Male,3.14,825,2.69,Business,0,3,6,9,1,75200.0,8,3,4
22,Female,3.75,839,3.68,Mathematics,2,0,10,10,4,33000.0,6,3,2
21,Female,3.86,600,2.07,Medicine,1,5,10,3,4,47300.0,9,5,5
28,Other,3.06,625,3.95,Mathematics,3,1,5,3,4,49200.0,8,3,8
19,Male,3.51,612,3.3,Law,2,5,4,2,1,60900.0,4,2,2
20,Female,2.88,938,2.86,Engineering,4,2,8,10,3,39500.0,2,1,7
24,Male,3.49,938,3.26,Arts,2,4,5,7,2,67300.0,9,2,3
25,Male,2.41,815,2.25,Law,1,5,2,10,1,59500.0,6,4,6
29,Male,2.74,884,3.03,Computer Science,1,4,4,2,3,74000.0,10,2,4
23,Other,3.27,428,3.97,Business,1,4,7,7,2,42400.0,8,4,6
28,Female,2.04,425,2.47,Mathematics,0,1,4,3,0,25100.0,8,5,2
22,Female,3.44,387,3.44,Medicine,0,1,6,1,3,64500.0,4,4,10
18,Female,3.67,239,2.87,Arts,3,5,2,8,5,66400.0,10,3,5
25,Male,2.8,858,3.3,Mathematics,3,2,9,8,5,25000.0,5,3,2
20,Male,2.9,623,2.41,Business,2,4,4,10,0,58500.0,1,3,8
23,Male,3.7,90,2.94,Arts,1,3,1,1,4,54700.0,9,4,9
20,Male,3.55,385,3.96,Engineering,3,4,3,6,4,41800.0,7,4,8
24,Female,2.58,975,2.39,Business,1,2,7,4,3,73300.0,1,4,1
24,Female,2.65,139,3.27,Mathematics,2,5,10,5,5,43700.0,10,1,5
29,Male,3.36,997,3.15,Medicine,0,2,9,8,0,75500.0,10,1,4
26,Male,3.13,647,3.13,Engineering,3,3,6,8,1,64100.0,3,1,4
22,Male,2.32,524,3.23,Business,4,1,4,7,2,60800.0,9,3,7
25,Male,2.62,244,3.0,Arts,4,3,2,5,4,57300.0,1,5,10
27,Female,3.8,505,2.03,Mathematics,4,2,9,6,4,61000.0,6,2,10
27,Female,3.38,422,3.8,Engineering,4,3,8,8,4,41100.0,5,1,4
25,Female,3.97,182,3.65,Medicine,4,4,7,5,4,32100.0,4,2,1
18,Male,3.53,195,2.35,Business,4,2,2,3,5,75500.0,1,1,3
29,Male,3.88,874,2.83,Arts,4,5,2,9,3,41500.0,7,4,8
22,Male,2.43,634,3.54,Mathematics,3,1,8,9,5,46800.0,1,4,10
20,Female,3.54,53,3.96,Arts,4,1,9,10,3,29900.0,1,3,7
18,Female,2.04,986,3.9,Law,4,3,9,1,0,59300.0,2,3,2
21,Male,3.34,990,3.8,Engineering,2,3,8,7,1,34100.0,9,2,7
25,Female,2.94,928,2.32,Mathematics,3,3,1,4,0,56200.0,1,3,2
20,Female,2.69,868,3.83,Business,2,5,5,6,5,45100.0,8,5,6
27,Female,3.72,685,3.76,Law,1,4,7,7,5,53500.0,1,5,8
19,Female,3.71,179,2.75,Arts,4,1,10,8,1,75300.0,1,5,3
28,Female,2.04,293,2.79,Engineering,0,2,6,5,3,33000.0,9,3,3
26,Female,3.22,375,2.92,Computer Science,4,2,1,5,4,42300.0,8,1,8
27,Male,2.74,59,3.31,Mathematics,4,1,10,6,0,38500.0,1,2,8
22,Male,2.83,54,2.52,Arts,2,5,6,7,1,57400.0,7,2,10
24,Male,3.66,914,2.05,Engineering,1,3,4,5,2,56200.0,8,2,6
28,Male,2.62,769,2.28,Computer Science,2,0,3,5,1,46800.0,2,1,1
28,Female,3.89,245,2.88,Mathematics,3,3,4,4,0,67600.0,4,3,3
19,Female,2.36,149,2.56,Engineering,1,5,8,1,3,50400.0,2,1,10
26,Male,3.33,796,3.53,Arts,1,1,6,7,4,40800.0,6,4,7
26,Female,3.34,368,2.21,Computer Science,1,4,9,7,2,69800.0,5,1,2
21,Male,2.5,16,3.83,Mathematics,2,3,5,6,0,46400.0,5,3,9
21,Male,2.65,176,3.79,Engineering,4,2,9,10,3,47500.0,8,1,9
23,Male,3.67,540,3.82,Business,4,4,4,2,1,48700.0,1,3,2
27,Male,3.52,406,3.48,Computer Science,4,1,4,2,3,53400.0,10,1,6
27,Male,2.66,467,2.21,Engineering,4,0,6,6,3,67800.0,2,1,2
27,Female,3.07,880,2.88,Business,4,3,10,9,4,63400.0,1,2,1
23,Male,2.12,129,2.26,Computer Science,3,4,7,5,0,59300.0,4,2,10
29,Other,2.42,223,3.98,Engineering,0,4,2,7,5,35500.0,2,2,9
18,Male,2.97,884,2.67,Arts,1,2,4,2,3,49600.0,10,3,5
26,Male,2.17,244,3.17,Computer Science,0,3,8,6,1,47900.0,7,5,1
19,Male,3.69,426,3.56,Computer Science,3,0,9,6,1,58400.0,5,5,7
22,Female,3.44,354,3.84,Mathematics,4,4,5,10,4,47100.0,5,5,3
26,Male,3.89,750,3.51,Business,3,2,6,6,3,71600.0,1,5,6
21,Female,3.39,744,3.35,Law,3,3,10,6,1,59700.0,2,3,4
28,Female,3.88,326,2.93,Mathematics,0,3,7,4,5,58900.0,5,2,3
20,Female,3.11,604,3.21,Law,1,0,7,5,1,35300.0,7,2,6
24,Female,3.2,3,2.19,Engineering,2,2,3,4,4,39200.0,1,2,8
23,Male,3.95,479,3.77,Arts,2,0,2,6,3,42100.0,7,3,6
25,Male,3.28,976,3.09,Business,1,4,10,9,4,50100.0,2,1,6
20,Male,2.06,81,2.08,Computer Science,4,5,8,5,3,67900.0,2,4,5
22,Female,3.45,44,3.84,Law,3,1,9,5,1,38600.0,9,3,5
27,Male,3.81,155,2.98,Business,4,1,8,3,5,25700.0,8,1,1
21,Male,3.59,947,3.74,Business,3,0,8,7,0,71500.0,10,2,4
21,Other,3.17,536,3.71,Mathematics,2,0,2,5,1,43100.0,4,2,8
21,Male,3.34,916,3.63,Business,1,5,4,2,0,49000.0,5,5,6
27,Female,3.98,928,2.12,Computer Science,0,5,6,9,3,65100.0,9,5,7
25,Female,2.18,99,2.49,Mathematics,0,5,8,5,3,67600.0,4,1,9
23,Male,3.33,397,3.75,Medicine,1,5,2,7,2,36300.0,10,4,8
20,Male,2.57,880,3.8,Business,2,1,8,7,3,54000.0,8,1,4
27,Male,3.28,171,2.92,Medicine,3,4,1,10,3,70900.0,5,1,7
22,Female,3.22,148,2.88,Law,0,5,6,8,2,50600.0,1,4,3
23,Female,2.31,123,2.35,Arts,2,5,8,4,0,66600.0,7,1,5
22,Female,2.41,112,3.94,Mathematics,1,0,8,7,3,52500.0,10,1,3
23,Female,3.24,130,2.43,Law,4,5,7,3,4,66500.0,3,3,7
25,Female,2.26,68,2.38,Mathematics,2,4,7,9,3,70000.0,7,4,3
24,Male,2.53,859,3.32,Arts,2,4,10,8,3,76000.0,8,2,8
22,Male,3.67,828,2.49,Arts,4,2,9,10,1,57100.0,4,5,10
27,Female,2.65,729,3.88,Mathematics,2,4,2,9,3,44100.0,6,2,8
23,Male,2.98,900,2.02,Law,0,5,1,2,3,54100.0,10,2,6
21,Male,3.88,892,2.01,Engineering,0,3,2,4,4,55000.0,7,5,9
29,Female,2.45,608,3.01,Computer Science,0,5,3,1,2,50200.0,8,5,2
26,Male,2.78,657,2.98,Medicine,2,1,9,8,2,61000.0,3,1,6
21,Female,3.21,897,2.33,Engineering,2,1,10,4,2,58500.0,7,4,4
18,Female,3.51,545,2.99,Medicine,2,0,7,4,1,54300.0,5,5,7
24,Male,3.8,286,2.82,Mathematics,1,0,5,7,3,83000.0,7,4,1
24,Female,3.83,5,3.78,Computer Science,4,2,5,6,0,37800.0,6,1,4
21,Male,3.55,118,2.02,Mathematics,2,5,6,3,0,55500.0,5,2,10
20,Male,2.46,652,3.95,Business,4,2,2,8,4,50100.0,3,5,4
25,Male,2.05,230,3.25,Mathematics,3,3,1,2,1,25000.0,10,5,6
22,Male,2.77,160,2.3,Law,0,0,1,1,5,40600.0,2,1,10
27,Female,2.28,294,2.09,Engineering,1,1,3,2,1,28800.0,3,4,6
24,Male,3.42,761,3.08,Mathematics,4,3,1,9,3,62500.0,2,4,6
21,Male,3.32,785,2.47,Computer Science,0,0,9,5,5,31100.0,3,3,4
21,Male,2.09,186,2.6,Law,1,3,10,5,0,29400.0,2,2,5
25,Female,3.67,877,2.49,Engineering,0,5,5,6,1,46900.0,1,3,8
25,Female,2.5,552,3.3,Mathematics,2,4,9,3,4,44800.0,9,4,3
19,Male,2.86,224,3.11,Arts,2,4,5,1,0,44000.0,10,3,6
19,Male,3.34,152,2.16,Mathematics,0,3,1,8,1,33700.0,5,4,1
20,Male,2.86,140,3.05,Engineering,1,0,7,7,3,63400.0,9,5,10
29,Male,2.88,367,3.58,Business,0,4,7,8,3,47400.0,8,1,6
29,Female,2.13,128,2.16,Business,3,4,4,9,5,64600.0,7,3,9
20,Female,2.8,351,3.78,Medicine,1,3,3,2,3,35200.0,6,5,8
18,Male,3.53,147,3.16,Engineering,1,4,1,5,3,40400.0,4,5,5
20,Male,3.83,285,3.9,Mathematics,0,5,7,2,0,36900.0,10,1,7
23,Male,2.83,469,2.3,Arts,4,1,5,8,0,49600.0,10,1,5
25,Female,2.85,218,3.99,Mathematics,0,4,10,4,1,39900.0,7,5,3
29,Male,3.41,436,3.29,Business,4,5,1,4,4,66200.0,7,5,9
27,Other,3.89,732,3.13,Medicine,1,3,1,10,2,25000.0,1,3,7
23,Female,2.53,145,3.03,Mathematics,2,4,3,8,2,75300.0,9,3,8
22,Male,2.88,841,2.05,Arts,2,4,3,7,3,45500.0,4,2,7
21,Female,3.59,277,3.88,Arts,0,2,2,1,1,38400.0,7,2,7
20,Female,3.22,754,3.29,Mathematics,4,3,8,7,2,77600.0,9,5,8
21,Female,2.22,60,2.18,Arts,0,3,8,10,2,48500.0,2,2,8
24,Male,3.26,610,2.04,Computer Science,3,5,6,3,2,45500.0,8,5,6
18,Male,2.37,843,2.1,Business,0,2,5,5,2,40700.0,4,1,4
24,Female,3.02,375,3.22,Computer Science,0,2,6,8,5,46000.0,4,1,5
18,Female,3.06,404,3.23,Computer Science,0,5,1,6,2,57300.0,3,3,6
19,Female,3.75,881,3.0,Business,0,1,2,8,5,57800.0,10,4,9
21,Female,2.92,693,2.61,Engineering,4,4,7,5,5,32100.0,4,5,5
18,Female,2.56,114,3.06,Law,4,0,1,10,1,32500.0,9,3,9
28,Female,2.46,495,3.03,Medicine,4,0,8,9,2,65400.0,1,2,9
29,Male,3.75,615,2.04,Mathematics,3,2,3,6,2,42100.0,9,5,8
28,Female,2.34,336,2.56,Law,3,3,4,9,5,49100.0,10,3,10
28,Female,2.85,831,2.11,Law,0,3,7,4,1,51800.0,9,2,6
26,Female,2.37,569,3.8,Law,4,5,10,2,0,72000.0,1,5,1
29,Female,3.55,285,3.45,Law,3,1,7,8,0,69800.0,9,3,5
23,Male,2.95,129,3.99,Business,2,0,2,5,0,55100.0,6,4,3
18,Female,2.7,892,2.6,Law,0,5,5,2,2,39900.0,8,3,9
18,Female,2.72,978,3.76,Medicine,1,5,8,6,1,84700.0,8,5,4
23,Male,3.7,315,3.21,Mathematics,4,3,9,3,0,60500.0,8,2,7
21,Male,3.11,960,2.91,Engineering,0,1,5,1,3,70500.0,8,5,6
21,Male,3.44,598,2.45,Business,0,1,2,6,3,46400.0,1,5,6
28,Male,3.79,712,3.48,Law,1,2,4,8,1,32700.0,1,3,5
23,Male,3.8,71,3.81,Arts,2,0,5,1,2,57600.0,7,5,1
29,Male,2.66,345,2.47,Mathematics,3,1,6,3,5,50300.0,9,1,3
28,Female,3.9,990,2.35,Business,3,1,6,6,0,74800.0,10,4,5
24,Female,2.05,98,3.39,Engineering,1,1,1,10,2,48500.0,8,2,2
26,Female,2.75,300,3.95,Law,1,0,6,3,5,43300.0,5,4,2
27,Female,3.79,176,3.5,Computer Science,3,2,10,7,0,69300.0,8,3,4
22,Male,2.55,745,2.57,Business,2,4,1,6,4,43700.0,9,3,7
26,Male,2.55,884,2.84,Mathematics,2,3,5,9,4,45900.0,7,1,1
